image_id,actual,label,outlet_code,news_genre,confidence,headlines
CH_01_INT_120,Real,0,CH,INT,0.6038,ইয়েমেন থেকে ইসরায়েলে ক্ষেপণাস্ত্র হামলা
CH_01_INT_123,Real,0,CH,INT,0.5711,"এবার মুখোমুখি অবস্থানে মুকেশ আম্বানি ও ইলন মাস্ক, নেপথ্যে কী"
CH_01_INT_141,Real,0,CH,INT,0.6789,আরব আমিরাতে বিমান বিধ্বস্তে পাকিস্তানি পাইলটসহ নিহত
CH_01_INT_152,Real,0,CH,INT,0.5521,ট্রাম্পের শাসনামলেই কি ইরান পারমাণবিক বোমা তৈরি করবে?
CH_01_INT_155,Real,0,CH,INT,0.5553,ক্যালিফোর্নিয়ার ভয়াবহ দাবানল 'গাজায় ইসরায়েলি বর্বরতার প্রতিচ্ছবি'
CH_01_INT_170,Real,0,CH,INT,0.5321,নদী ও পানি ব্যবস্থাপনায় চীনের কাছে ৫০ বছরের মাস্টারপ্ল্যান চায় ঢাকা
CH_01_INT_174,Real,0,CH,INT,0.5188,এবার যুক্তরাষ্ট্রের পণ্যের ওপর চীনের ৮৪ শতাংশ শুল্ক আরোপ
CH_01_INT_186,Real,0,CH,INT,0.5093,"ইসরায়েলের নৃশংসতা, গাজায় নিহত বেড়ে ৬০ হাজার ৪৩০"
CH_01_POL_019,Real,0,CH,POL,0.5274,শনিবার ঐতিহাসিক লালদীঘি ময়দানে চট্টগ্রাম বিভাগীয় সমাবেশ। জামায়াত আমিরের বক্তব্য: জনগণের মতামতকে উপেক্ষা করা গণতন্ত্রের চেতনার পরিপন্থি
CH_01_POL_064,Real,0,CH,POL,0.5785,বিএনপি আওয়ামী লীগের ফাঁদে পড়েছে: নাসীরুদ্দীন পাটওয়ারী
CH_01_POL_087,Real,0,CH,POL,0.5236,"ছাত্রলীগের ওয়েবসাইট হ্যাক, দেয়া হলো যে বার্তা"
CH_01_POL_132,Real,0,CH,POL,0.5463,কমিটি গঠন নিয়ে বিএনপির দুই পক্ষের সংঘর্ষে আহত ১৫
CH_01_SPT_008,Real,0,CH,SPT,0.5463,"বিশ্বকাপের প্রথম দিন: ১০ ছবিতে উৎসব, উল্লাস আর স্মরণীয় মুহূর্ত"
CH_01_SPT_086,Real,0,CH,SPT,0.7225,"ফিফা র‍্যাঙ্কিংয়ে বড় পরিবর্তন, আর্জেন্টিনা-ব্রাজিল কে কোথায়"
CH_01_SPT_112,Real,0,CH,SPT,0.5234,ভারত সফরে বাংলাদেশের ক্রিকেটারদের চোখ থাকবে যেসব রেকর্ডে
CH_01_SPT_157,Real,0,CH,SPT,0.5266,"এবার ক্লাবের মালিক হতে চান ভিনিসিয়ুস, চলছে আলোচনা"
CH_01_SPT_178,Real,0,CH,SPT,0.5541,র‍্যাঙ্কিংয়ে ৩৬ ধাপ এগিয়ে থাকা দলকে ৭ গোল দিলো বাংলাদেশ
DS_01_BIZ_008,Real,0,DS,BIZ,0.6257,বাজেট ২০২৬-২৭ সামাজিক নিরাপত্তা খাতে বরাদ্দ বাড়লেও কমছে কর্মসূচি
DS_01_BIZ_013,Real,0,DS,BIZ,0.5212,"দাম বাড়ায় কমছে এলপিজির চাহিদা, রান্নায় বিকল্পতে ঝুঁকছে মানুষ"
DS_01_BIZ_020,Real,0,DS,BIZ,0.5931,আল-মুসলিম গ্রুপের ৭ পোশাক কারখানায় ১৮৬৮ শ্রমিক ছাটাইয়ের প্রতিবাদে সাভারে বিক্ষোভ
DS_01_BIZ_027,Real,0,DS,BIZ,0.6839,এআই বুদবুদ' নিয়ে যে হুঁশিয়ারি দিলেন গুগলপ্রধান সুন্দর পিচাই
DS_01_BIZ_032,Real,0,DS,BIZ,0.6671,"এআই: মানুষের তৈরি বুদ্ধিমত্তা, মানুষের নয়"
DS_01_BIZ_081,Real,0,DS,BIZ,0.5821,"ইন্টারনেটের গতি ৫ গুণ বাড়িয়েছে বিটিসিএল, দাম অপরিবর্তিত"
DS_01_BIZ_117,Real,0,DS,BIZ,0.5351,আয়কর রিটার্ন জমার তারিখ ১৬ ফেব্রুয়ারি পর্যন্ত বাড়ল
DS_01_BIZ_127,Real,0,DS,BIZ,0.7245,এডিবির সঙ্গে আরও ১০০ মিলিয়ন ডলার ঋণচুক্তি
DS_01_BIZ_151,Real,0,DS,BIZ,0.6622,অর্থনীতির জন্য হতাশার একটি বছর
DS_01_CRM_003,Real,0,DS,CRM,0.633,"শিশুকে যৌন নিপীড়নের অভিযোগ, ০ ঘণ্টা অবরুদ্ধ থাকার পর অভিযুক্তকে হেফাজতে নিলো পুলিশ"
DS_01_CRM_046,Real,0,DS,CRM,0.6646,লালবাগ থানার মামলায় শিরীন শারমিন চৌধুরীর জামিন
DS_01_CRM_049,Real,0,DS,CRM,0.5247,"গণঅভ্যুত্থানে রামপুরায় হত্যাকাণ্ডের রায় স্থগিতের আবেদন করবেন চিফ প্রসিকিউটর, চিফ প্রসিকিউটর বলেন, মামলায় কিছু ঘাটতি রয়ে গেছে এবং সেগুলো ঠিক করার সুযোগ আমাদের আছে"
DS_01_CRM_050,Real,0,DS,CRM,0.5673,"ঢাকায় টিটিপি মতাদর্শী ৪ জন গ্রেপ্তার, ড্রোন-অস্ত্র জব্দ: ডিবি"
DS_01_CRM_055,Real,0,DS,CRM,0.5108,"ঢাকার সড়কে এআই ক্যামেরা, অবশেষে নিয়ম মানতে শুরু করেছেন গাড়ি-মোটরসাইকেল চালকরা"
DS_01_CRM_056,Real,0,DS,CRM,0.5626,"গাজীপুরে গলা কেটে হত্যা: $ দিনেও ধরা পড়েনি মূল যা বলছেন স্থানীয়রা, অভিযুক্ত"
DS_01_CRM_070,Real,0,DS,CRM,0.6665,আবু সাঈদ হত্যার রায় ৯ এপ্রিল
DS_01_CRM_110,Real,0,DS,CRM,0.6012,কেন আবু সাঈদকে ঠান্ডা মাথায় গুলি করে হত্যা করা হলো? মাহফুজ আনাম সম্পাদক ও প্রকাশক ডেইলি স্টার
DS_01_DIS_018,Real,0,DS,DIS,0.7198,"ভুটানে ৫.৩ মাত্রার ভূমিকম্প, ঢাকাসহ সারা দেশে কম্পন অনুভূত"
DS_01_DIS_082,Real,0,DS,DIS,0.6433,তেঁতুলিয়ায় তাপমাত্রা নামল ৭.৩ ডিগ্রিতে; উত্তরে শীতে জনজীবন বিপর্যস্ত
DS_01_DIS_135,Real,0,DS,DIS,0.6226,"প্রবল ঘূর্ণিঝড়ে রূপ নিয়েছে 'দানা', কাল ভোরের মধ্যেই আঘাত উপকূলে"
DS_01_ENT_006,Real,0,DS,ENT,0.731,"চাঁদ দেখা গেছে, ঈদুল আজহা ২৮ মে"
DS_01_ENT_019,Real,0,DS,ENT,0.5215,'মহাশ্মশান' পরিণত হোক প্রাণের মেলায় মাহমুদ নেওয়াজ জয়
DS_01_ENT_033,Real,0,DS,ENT,0.6651,৩০ বছরে আইয়ুব বাচ্চুর 'কষ্ট'
DS_01_ENT_034,Real,0,DS,ENT,0.7241,"জেফার-রাফসানের বিয়ে কাল, ১৩ জানুয়ারি ২০২৬"
DS_01_ENT_039,Real,0,DS,ENT,0.5907,"সরকার, শিক্ষা মন্ত্রণালয়: পুরো রমজান বন্ধই থাকছে বিদ্যালয়"
DS_01_ENT_057,Real,0,DS,ENT,0.5888,পাবনার মেয়ে সুচিত্রা যেভাবে দক্ষিণ এশিয়ার সবচেয়ে বড় সুপারস্টার হলেন
DS_01_HLT_015,Real,0,DS,HLT,0.6258,বিশ্বে প্রায় ১২০ কোটি মানুষ মানসিক সমস্যায় ভুগছেন: গবেষণা। বিশ্বজুড়ে ২০২৩ সালে প্রায় ১২০ কোটি মানুষ বিভিন্ন মানসিক সমস্যায় আক্রান্ত ছিলেন। ১৯৯০ সালের তুলনায় এ সংখ্যা বেড়েছে ৯৫ দশমিক ৫ শতাংশ। নতুন এক গবেষণায় এ তথ্য উঠে এসেছে।
DS_01_HLT_023,Real,0,DS,HLT,0.5628,হাম ও উপসর্গে আরও ৬ শিশুর মৃত্যু
DS_01_HLT_043,Real,0,DS,HLT,0.6244,"ফ্যারিনজাইটিস সম্পর্কে জানেন? কেন হয়, জানিয়েছেন অধ্যাপক ডা. মোহাম্মদ আবু হানিফ"
DS_01_HLT_099,Real,0,DS,HLT,0.5174,ব্যায়ামের পর ক্ষুধা লাগলে যা খাওয়া উচিত
DS_01_HLT_100,Real,0,DS,HLT,0.6448,অ্যানথ্রাক্স কীভাবে ছড়ায়; প্রতিরোধে করণীয়
DS_01_HLT_136,Real,0,DS,HLT,0.5455,"অ্যালার্জির ধরন ও লক্ষণ, চিকিৎসা কী, জানিয়েছেন অধ্যাপক ডা. সোহেল মাহমুদ আরাফাত"
DS_01_HLT_139,Real,0,DS,HLT,0.5878,"কিডনিতে পাথর কেন হয়, প্রতিরোধ করবেন যেভাবে, জানিয়েছেন অধ্যাপক ডা. মো. মিজানুর রহমান"
DS_01_INT_002,Real,0,DS,INT,0.649,পোল্যান্ডে আরও ৫ হাজার সেনা পাঠানোর ঘোষণা ট্রাম্পের
DS_01_INT_009,Real,0,DS,INT,0.6333,ইরাকে ক্ষেপণাস্ত্র হামলায় নিহত প্রবাসীর মরদেহ দেশে এসেছে
DS_01_INT_010,Real,0,DS,INT,0.6559,"জাতিসংঘ শান্তিরক্ষী দিবস: শান্তিরক্ষা কেমন, কতটা নিরাপদ?"
DS_01_INT_021,Real,0,DS,INT,0.6628,"ইতালিযাত্রী: না আছে মৃত্যুসংবাদ, না আছে ফেরার আশা, লিবিয়া"
DS_01_INT_042,Real,0,DS,INT,0.6353,রুশ তেলের বিরুদ্ধে নিষেধাজ্ঞা উঠিয়ে নেওয়ার ইঙ্গিত দিলেন ট্রাম্প
DS_01_INT_048,Real,0,DS,INT,0.6914,শিক্ষায় প্রযুক্তি বিষয়ক সম্মেলনে যোগ দিতে যুক্তরাষ্ট্রের পথে জুবাইদা রহমান
DS_01_INT_054,Real,0,DS,INT,0.608,কোটি ডলার জরিমানা দিয়ে দুর্নীতির মামলায় দায়মুক্তি পেলেন আদানি
DS_01_INT_116,Real,0,DS,INT,0.5091,সিরিয়ার অন্তর্বর্তী সরকারে সব গোষ্ঠীর প্রতিনিধিত্ব থাকবে: আহমেদ আল-শারা
DS_01_INT_122,Real,0,DS,INT,0.522,ইরানের 'পরমাণু কর্মসূচি পুরোপুরি বন্ধের' দাবি নেতানিয়াহুর
DS_01_INT_150,Real,0,DS,INT,0.6412,বাইডেনের সম্ভাব্য বিকল্প: কমলা হ্যারিস থেকে মিশেল ওবামা
DS_01_POL_035,Real,0,DS,POL,0.6506,৪ লাখ ২৫ হাজারেরও বেশি প্রবাসীর ভোটদান সম্পন্ন
DS_01_POL_065,Real,0,DS,POL,0.6,"'উনি সব পড়েছেন, শুধু বিলটা পড়েননি' হাসনাতকে উদ্দেশ্য করে আইনমন্ত্রী"
DS_01_POL_108,Real,0,DS,POL,0.6015,"$ প্রায় ৭ ঘণ্টা ধরে সংঘর্ষ, উত্তরা-আজমপুর রণক্ষেত্র"
DS_01_POL_112,Real,0,DS,POL,0.5733,'পাখিকেও একজন মানুষ এভাবে গুলি করে না'
DS_01_SPT_036,Real,0,DS,SPT,0.6597,"বাছাইপর্বে সাফল্যের প্রতিফলন, র‍্যাঙ্কিংয়ে জ্যোতিদের বড় লাফ"
DS_01_SPT_038,Real,0,DS,SPT,0.5217,এপ্রিলে বসছে নারী বিপিএলের উদ্বোধনী আসর
DS_01_SPT_089,Real,0,DS,SPT,0.6045,"রিয়াল মাদ্রিদ বনাম ম্যান সিটি: চাপ, সংকট, উচ্চঝুঁকির লড়াই"
DS_01_SPT_091,Real,0,DS,SPT,0.5306,কাতারে অনূর্ধ্ব-১৭ বিশ্বকাপে পর্তুগাল চ্যাম্পিয়ন হওয়ায় রোনালদোর অভিনন্দন
DS_01_SPT_123,Real,0,DS,SPT,0.6342,রেকর্ড ৬ কোটি রুপিতে মোস্তাফিজকে দলে নিল দিল্লি ক্যাপিটালস
DS_01_SPT_160,Real,0,DS,SPT,0.635,রেকর্ড পুঁজিতে রেকর্ড জয় বাংলাদেশের
IT_01_BIZ_023,Real,0,IT,BIZ,0.7524,দেশে সোনার দামে বড় পতন
IT_01_BIZ_031,Real,0,IT,BIZ,0.8681,"১৭ লাখ টন চাল, লাখ টন গম মজুদ আছে"
IT_01_BIZ_039,Real,0,IT,BIZ,0.6984,মে মাসে চীন থেকে কয়লা আমদানি কমেছে ৮ শতাংশ
IT_01_BIZ_046,Real,0,IT,BIZ,0.6218,মে মাসে প্রবাসী আয় বেড়েছে ১৫ শতাংশ
IT_01_BIZ_064,Real,0,IT,BIZ,0.7037,লবণসহিষ্ণু ধান চাষে ঘুরে দাঁড়াচ্ছেন সাতক্ষীরার কৃষকরা
IT_01_BIZ_099,Real,0,IT,BIZ,0.573,যুদ্ধের কারণে দীর্ঘমেয়াদী সংকটে বিশ্ব অর্থনীতি
IT_01_BIZ_100,Real,0,IT,BIZ,0.709,জ্বালানি সংকটে দিশেহারা চট্টগ্রামের পণ্য পরিবহন খাত
IT_01_BIZ_150,Real,0,IT,BIZ,0.612,সমৃদ্ধ ও স্থিতিশীল অর্থনীতি গড়তে বিশ্ব নেতাদের প্রতি আহ্বান ড. ইউনূসের
IT_01_BIZ_186,Real,0,IT,BIZ,0.5829,সরকারের নানা উদ্যোগেও অর্থনীতিতে কোনো 'সুখবর' দেখছেন না গবেষকরা
IT_01_BIZ_196,Real,0,IT,BIZ,0.6034,ভারত থেকে ১ লাখ ৮০ হাজার টন ডিজেল কেনার প্রস্তাব অনুমোদন
IT_01_BIZ_199,Real,0,IT,BIZ,0.5462,শীর্ষ ৫ রপ্তানি খাতের সবগুলোতেই আয় কমেছে
IT_01_BIZ_208,Real,0,IT,BIZ,0.5391,"নিত্যপণ্যের বাজারে অস্থিরতা, মূল্যস্ফীতি এখনো সাড়ে ৮ শতাংশ"
IT_01_CRM_030,Real,0,IT,CRM,0.5973,"রাজনৈতিক সহিংসতায় পাঁচ মাসে ৫৫ খুন, বাড়ছে উদ্বেগ"
IT_01_CRM_033,Real,0,IT,CRM,0.6503,"হোয়াইট হাউসে ভয়াবহ হামলা পরিকল্পনা নস্যাৎ, গ্রেপ্তার ৫"
IT_01_CRM_040,Real,0,IT,CRM,0.6743,খুলনায় মসজিদে ঢুকে দুজনকে গুলি
IT_01_CRM_061,Real,0,IT,CRM,0.6661,খাগড়াছড়িতে খাল খননের এক্সকাভেটর পুড়িয়ে দিল দুর্বৃত্তরা
IT_01_CRM_085,Real,0,IT,CRM,0.5098,"নারায়ণগঞ্জে পুলিশের ওপর হামলা করে অস্ত্র ছিনতাই, আহত"
IT_01_CRM_116,Real,0,IT,CRM,0.5773,লক্ষ্মীপুরে বৈষম্যবিরোধী ছাত্র আন্দোলনের সংগঠকের ওপর হামলা
IT_01_CRM_120,Real,0,IT,CRM,0.7025,৮ নারীকে হত্যা করা সেই 'টুইটার কিলারকে' ফাঁসি দিল জাপান
IT_01_CRM_131,Real,0,IT,CRM,0.655,"গাজীপুরে ৭ মাসে ১০৩ খুন, অপরাধ দমনে চ্যালেঞ্জ দেখছেন জিএমপি কমিশনার"
IT_01_CRM_134,Real,0,IT,CRM,0.7029,মুন্সিগঞ্জে ক্যাম্পে হামলা: ডাকাত-পুলিশ ব্যাপক গোলাগুলি
IT_01_CRM_140,Real,0,IT,CRM,0.5861,ঢাকা কলেজ-সিটি কলেজের সংঘর্ষে ৬ শিক্ষার্থী আহত হয়ে ঢামেকে
IT_01_CRM_145,Real,0,IT,CRM,0.5407,বখাটে কিশোর চক্র: মোহাম্মদপুরে আতঙ্ক যেন কাটছেই না
IT_01_CRM_153,Real,0,IT,CRM,0.6072,গচ্ছিত স্বর্ণ কব্জায় নিতে ডাকাতির নাটক সাজায় কারিগর ও দোকান মালিক
IT_01_CRM_159,Real,0,IT,CRM,0.6665,চলতি বছর আট মাসে ৩৯০ কন্যাশিশু ধর্ষণের শিকার
IT_01_CRM_169,Real,0,IT,CRM,0.5488,শেখ হাসিনার পিয়ন জাহাঙ্গীরের নামে ১০০ কোটি টাকার অর্থপাচার মামলা
IT_01_CRM_174,Real,0,IT,CRM,0.5997,"ব্রাহ্মণবাড়িয়ায় এলোপাতাড়ি গুলি, জন গুলিবিদ্ধ"
IT_01_CRM_178,Real,0,IT,CRM,0.6245,প্লট দুর্নীতির ৩ মামলায় শেখ হাসিনার ২১ বছরের কারাদণ্ড
IT_01_CRM_183,Real,0,IT,CRM,0.6712,ফের সংঘর্ষে ঢাকা ও আইডিয়াল কলেজের শিক্ষার্থীরা
IT_01_CRM_187,Real,0,IT,CRM,0.6743,গাজীপুরে বিএনপির দুই পক্ষের সংঘর্ষে আহত অন্তত ১০
IT_01_CRM_190,Real,0,IT,CRM,0.5651,নৌকা কেন্দ্র করে সংঘর্ষ: টেঁটাবিদ্ধ ৫ জন ঢামেকে
IT_01_CRM_207,Real,0,IT,CRM,0.6549,নওগাঁয় শিক্ষক নিয়োগে প্রশ্নফাঁস চক্রের ১৮ সদস্য আটক
IT_01_CRM_221,Real,0,IT,CRM,0.5287,রাজধানীতে চেকপোস্টে দুর্বৃত্তের ছুরিকাঘাতে পুলিশ সদস্য আহত
IT_01_CRM_226,Real,0,IT,CRM,0.5348,জামায়াত নেতার অবৈধ পাম্পে মিলল তেলের বিপুল মজুত
IT_01_DIS_012,Real,0,IT,DIS,0.5371,"ভারতের আসামে বন্যায় আরও ৮ মৃত্যু, মোট প্রাণহানি ৪৬"
IT_01_DIS_068,Real,0,IT,DIS,0.6919,"ময়মনসিংহ ও শেরপুরে পাহাড়ি ঢলে নিম্নাঞ্চল প্লাবিত, পানিবন্দি মানুষ"
IT_01_DIS_084,Real,0,IT,DIS,0.6864,"সুনামগঞ্জ, নেত্রকোনা ও হবিগঞ্জের নদীর পানি বিপৎসীমার ওপরে"
IT_01_DIS_089,Real,0,IT,DIS,0.6551,ঘণ্টাখানেকের বৃষ্টিতে ডুবল চট্টগ্রাম
IT_01_DIS_091,Real,0,IT,DIS,0.684,গাইবান্ধার ধোপাডাঙ্গায় বজ্রপাতে ৩ জনের মৃত্যু
IT_01_DIS_125,Real,0,IT,DIS,0.6124,"রাশিয়ায় ৮.৭ মাত্রার শক্তিশালী ভূমিকম্প, সুনামি সতর্কতা জারি"
IT_01_DIS_137,Real,0,IT,DIS,0.5779,পাকিস্তানের খাইবার পাখতুনখাওয়ায় বন্যায় মৃত্যু ৪০০ ছাড়াল
IT_01_DIS_142,Real,0,IT,DIS,0.585,আফগানিস্তানে ভূমিকম্পে নিহত বেড়ে ২২০০
IT_01_DIS_154,Real,0,IT,DIS,0.5768,উত্তরের ৪ জেলায় বন্যার পূর্বাভাস
IT_01_DIS_175,Real,0,IT,DIS,0.5587,দিলু রোডে বহুতল ভবনে আগুন
IT_01_DIS_185,Real,0,IT,DIS,0.6265,জাপানে শক্তিশালী ভূমিকম্পে আহত অন্তত ২৩
IT_01_DIS_191,Real,0,IT,DIS,0.5294,রাজধানীর গুলিস্তানে শপিং কমপ্লেক্সে আগুন
IT_01_DIS_198,Real,0,IT,DIS,0.5914,জাপানে আঘাত হেনেছে শক্তিশালী ভূমিকম্প
IT_01_DIS_211,Real,0,IT,DIS,0.6474,ভূমিকম্পে কাঁপল পাকিস্তান
IT_01_DIS_222,Real,0,IT,DIS,0.5981,"রাজধানীতে গ্যাস লিকেজ থেকে বিস্ফোরণ, দগ্ধ ৭"
IT_01_ENT_013,Real,0,IT,ENT,0.5218,পাহাড়ি ঢলে তলিয়ে যাওয়ায় সিলেটের সাদাপাথর পর্যটনকেন্দ্র সাময়িক বন্ধ
IT_01_ENT_050,Real,0,IT,ENT,0.623,"সন্তানকে নিয়েই 'পেড্ডি' দেখুন, এটি হতাশ করবে না: রাম চরণ"
